Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 10848" "02 19 37.280" "+39 50 05.81" 0.110 0.008 0.131749 0.003614 0.48702 -2.7185957 Simbad
"HIP 10924" "02 20 41.515" "+47 18 38.90" 0.124 0.009 0.142287 0.004241 0.49619 -2.0318975 Simbad
"HIP 10944" "02 20 58.208" "+50 09 05.28" 0.180 0.012 0.220187 0.006066 0.51111 -3.3489566 Simbad
"HIP 11037" "02 22 06.947" "+43 34 42.57" 0.062 0.004 0.072932 0.002103 0.64306 -2.7329717 Simbad
"HIP 11249" "02 24 49.057" "+10 36 38.01" 0.170 0.012 0.198175 0.005584 0.17653 -2.3478904 Simbad
"HIP 11278" "02 25 15.734" "+37 07 08.25" 0.086 0.006 0.103254 0.002793 0.76938 -2.8757465 Simbad
"HIP 11424" "02 27 20.483" "+41 31 18.41" 0.061 0.004 0.074194 0.002220 0.27974 -3.2985090 Simbad
"HIP 11436" "02 27 28.729" "+41 02 54.01" 0.069 0.005 0.082275 0.002237 1.15790 -2.6549175 Simbad
"HIP 11479" "02 28 04.385" "-64 17 59.17" 0.145 0.010 0.167514 0.004685 0.80231 -2.2514238 Simbad
"HIP 11578" "02 29 13.682" "+23 28 08.50" 0.215 0.015 0.246599 0.006248 1.36320 -2.1065960 Simbad
"HIP 12057" "02 35 27.900" "+39 39 51.77" 0.125 0.009 0.159190 0.004554 0.63724 -3.7988708 Simbad
"HIP 12151" "02 36 36.180" "+42 24 01.89" 0.093 0.006 0.120580 0.003824 0.58481 -4.5966900 Simbad
"HIP 12305" "02 38 27.954" "+38 05 20.93" 0.147 0.010 0.175009 0.004726 0.83474 -2.8008910 Simbad
"HIP 12346" "02 38 58.343" "+62 35 29.43" 0.131 0.009 0.149365 0.004061 1.07856 -2.0405270 Simbad
"HIP 12389" "02 39 31.725" "-64 16 54.19" 0.122 0.008 0.140845 0.003832 0.64597 -2.3556210 Simbad
"HIP 12396" "02 39 36.642" "-61 31 59.23" 0.048 0.003 0.060553 0.001713 1.04893 -4.1842337 Simbad
"HIP 12692" "02 43 02.838" "+55 06 21.66" 0.147 0.010 0.183696 0.005141 1.35269 -3.6695957 Simbad
"HIP 13121" "02 48 45.906" "+25 11 17.03" 0.181 0.012 0.209667 0.005737 0.48594 -2.3888996 Simbad
"HIP 13327" "02 51 29.586" "+15 04 55.45" 0.170 0.012 0.197719 0.005452 0.68269 -2.3098762 Simbad
"HIP 13390" "02 52 20.694" "+71 34 58.41" 0.045 0.003 0.051920 0.001449 1.62975 -2.3066463 Simbad
"HIP 13609" "02 55 22.014" "+27 43 20.57" 0.113 0.008 0.130808 0.003548 0.95288 -2.2259958 Simbad
"HIP 13789" "02 57 32.627" "-38 11 27.33" 0.141 0.010 0.161141 0.004381 0.62178 -2.0140932 Simbad
"HIP 14049" "03 00 53.784" "+59 39 57.43" 0.093 0.006 0.106999 0.002938 1.20544 -2.3332300 Simbad
"HIP 14143" "03 02 22.518" "+04 21 10.39" 0.159 0.011 0.193989 0.005585 0.21212 -3.1808170 Simbad
"HIP 14295" "03 04 17.006" "+75 08 58.38" 0.095 0.007 0.116233 0.003202 1.14459 -3.0332610 Simbad
"HIP 14369" "03 05 22.997" "+73 56 42.50" 0.093 0.006 0.108427 0.003456 0.37371 -2.5712240 Simbad
"HIP 14887" "03 12 09.556" "+42 22 33.25" 0.113 0.008 0.133954 0.003926 0.44196 -2.6192338 Simbad
"HIP 14893" "03 12 14.245" "+27 15 25.09" 0.151 0.010 0.171520 0.004819 0.45846 -2.0520062 Simbad
"HIP 15065" "03 14 08.477" "+40 07 08.53" 0.091 0.006 0.114924 0.003155 0.71128 -3.9874080 Simbad
"HIP 15218" "03 16 11.308" "-30 49 38.88" 0.120 0.008 0.142405 0.004015 0.50417 -2.8005679 Simbad
"HIP 15246" "03 16 39.776" "+69 58 44.92" 0.101 0.007 0.115138 0.003274 1.04724 -2.0197800 Simbad
"HIP 15334" "03 17 45.754" "+39 17 00.13" 0.205 0.014 0.237318 0.006503 0.78831 -2.3084486 Simbad
"HIP 15506" "03 19 47.761" "+19 04 34.50" 0.078 0.005 0.098365 0.002798 0.48454 -4.0730553 Simbad
"HIP 15692" "03 22 09.347" "-46 45 48.09" 0.778 0.054 0.901194 0.086350 0.40629 -2.2813687 Simbad
"HIP 15870" "03 24 26.116" "+20 48 12.55" 0.158 0.011 0.193260 0.005219 0.83720 -3.2054594 Simbad
"HIP 15988" "03 25 57.380" "+49 07 14.72" 0.133 0.009 0.157620 0.004371 1.24944 -2.7355652 Simbad
"HIP 16095" "03 27 18.677" "+12 44 07.04" 0.151 0.010 0.174310 0.004875 0.55798 -2.3310378 Simbad
"HIP 16205" "03 28 48.165" "+20 37 26.69" 0.081 0.006 0.104186 0.002882 1.20323 -3.8642920 Simbad
"HIP 16268" "03 29 42.567" "+16 45 44.41" 0.095 0.007 0.119233 0.003453 0.83310 -3.4618516 Simbad
"HIP 16322" "03 30 24.469" "+11 20 11.18" 0.255 0.018 0.292746 0.009019 0.12556 -2.0969942 Simbad
"HIP 16340" "03 30 36.951" "+48 06 12.96" 0.171 0.012 0.197452 0.005904 0.72949 -2.2043188 Simbad
"HIP 16470" "03 32 08.601" "+48 01 24.52" 0.184 0.013 0.226637 0.006679 0.83939 -3.2797650 Simbad
"HIP 16511" "03 32 35.949" "+09 22 24.37" 0.174 0.012 0.205310 0.005761 0.88272 -2.6091821 Simbad
"HIP 16725" "03 35 12.311" "+73 20 48.94" 0.144 0.010 0.166223 0.005121 0.51759 -2.2222712 Simbad
"HIP 16782" "03 35 58.490" "+47 05 27.71" 0.108 0.007 0.124121 0.003405 1.11832 -2.3030605 Simbad
"HIP 16938" "03 38 00.182" "+42 34 58.24" 0.111 0.008 0.146370 0.004040 1.29236 -4.4213010 Simbad
"HIP 16962" "03 38 13.059" "+49 04 58.88" 0.089 0.006 0.109464 0.002961 1.70236 -3.4106114 Simbad
"HIP 16966" "03 38 15.581" "+47 34 37.13" 0.094 0.006 0.107388 0.002938 0.63645 -2.2313780 Simbad
"HIP 16974" "03 38 19.734" "+56 55 57.77" 0.123 0.008 0.154258 0.004739 1.11139 -3.9072566 Simbad
"HIP 17000" "03 38 40.720" "+22 39 34.59" 0.129 0.009 0.148771 0.004113 0.77886 -2.1967573 Simbad
"HIP 17034" "03 39 06.724" "+24 42 10.34" 0.110 0.008 0.127281 0.003704 1.00079 -2.1601336 Simbad
"HIP 17203" "03 41 07.860" "+37 34 48.71" 0.171 0.012 0.207487 0.005958 0.64080 -3.0405831 Simbad
"HIP 17344" "03 42 43.575" "-04 36 19.92" 0.080 0.006 0.093070 0.003111 0.42971 -2.1783075 Simbad
"HIP 17527" "03 45 09.739" "+24 50 21.35" 0.173 0.012 0.203474 0.005858 0.66464 -2.5394620 Simbad
"HIP 17543" "03 45 23.737" "-71 39 29.27" 0.112 0.008 0.167253 0.004612 0.36392 -6.9066690 Simbad
"HIP 17548" "03 45 27.557" "+47 39 37.27" 0.099 0.007 0.113125 0.003200 0.55781 -2.0178397 Simbad
"HIP 17549" "03 45 31.064" "+42 00 24.92" 0.107 0.007 0.131508 0.003740 0.59669 -3.5010755 Simbad
"HIP 17588" "03 46 02.899" "+24 31 40.44" 0.141 0.010 0.163934 0.004866 0.61741 -2.2934468 Simbad
"HIP 17681" "03 47 16.125" "+44 04 25.46" 0.106 0.007 0.120297 0.003337 1.08466 -2.0424192 Simbad
"HIP 17692" "03 47 20.968" "+23 48 12.04" 0.121 0.008 0.138483 0.003740 1.51019 -2.1854200 Simbad
"HIP 17733" "03 47 49.542" "-07 01 33.31" 0.067 0.005 0.077501 0.002227 0.23399 -2.1002576 Simbad
"HIP 17776" "03 48 20.816" "+23 25 16.50" 0.200 0.014 0.228700 0.006449 0.59003 -2.0499697 Simbad
"HIP 17810" "03 48 40.362" "+78 07 09.34" 0.088 0.006 0.108245 0.003117 0.81376 -3.3742363 Simbad
"HIP 17862" "03 49 21.750" "+24 22 51.44" 0.124 0.009 0.148094 0.004116 0.85595 -2.6770666 Simbad
