Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 95580" "19 26 28.386" "+48 52 15.01" 0.061 0.004 0.076011 0.002061 1.30330 -3.7526720 Simbad
"HIP 95584" "19 26 30.598" "+20 15 32.35" 0.132 0.009 0.168099 0.004648 0.86314 -4.0109806 Simbad
"HIP 95587" "19 26 32.252" "+40 08 09.22" 0.051 0.004 0.064067 0.001779 0.80543 -3.2668335 Simbad
"HIP 95605" "19 26 44.231" "+39 57 41.41" 0.087 0.006 0.107735 0.002948 1.25262 -3.4558860 Simbad
"HIP 95653" "19 27 24.422" "+42 13 45.47" 0.089 0.006 0.104528 0.002828 1.91610 -2.5879319 Simbad
"HIP 95656" "19 27 25.958" "+52 19 13.58" 0.205 0.014 0.242231 0.006561 1.18986 -2.6593654 Simbad
"HIP 95881" "19 30 01.406" "-53 37 07.01" 0.072 0.005 0.083251 0.002454 0.38900 -2.2502065 Simbad
"HIP 95915" "19 30 22.282" "+16 42 40.09" 0.106 0.007 0.133635 0.004050 0.33359 -3.9477910 Simbad
"HIP 95919" "19 30 25.269" "+17 41 42.91" 0.130 0.009 0.148457 0.004120 0.62648 -2.0508204 Simbad
"HIP 95922" "19 30 29.757" "+43 10 00.77" 0.059 0.004 0.074856 0.002158 1.00593 -3.9639153 Simbad
"HIP 95940" "19 30 40.255" "-59 13 17.69" 0.062 0.004 0.073848 0.002111 0.36053 -2.9619224 Simbad
"HIP 95953" "19 30 46.831" "+36 13 42.61" 0.154 0.011 0.178270 0.004902 1.13138 -2.2063906 Simbad
"HIP 95979" "19 31 01.035" "-73 59 06.81" 0.086 0.006 0.098898 0.003011 0.34755 -2.1496341 Simbad
"HIP 95980" "19 31 01.094" "+46 19 54.45" 0.096 0.007 0.117440 0.003247 0.79790 -3.0628026 Simbad
"HIP 96030" "19 31 30.340" "+34 28 10.97" 0.059 0.004 0.074268 0.002037 0.94611 -3.8169844 Simbad
"HIP 96033" "19 31 34.556" "+17 57 29.44" 0.092 0.006 0.112357 0.003500 0.46248 -3.3929112 Simbad
"HIP 96051" "19 31 45.844" "+38 01 12.13" 0.058 0.004 0.072001 0.001958 1.97248 -3.5003216 Simbad
"HIP 96057" "19 31 53.641" "+14 58 08.22" 0.088 0.006 0.103306 0.003148 0.29944 -2.5510688 Simbad
"HIP 96145" "19 32 55.936" "+39 39 45.74" 0.064 0.004 0.079726 0.002196 1.09180 -3.9314718 Simbad
"HIP 96161" "19 33 08.639" "+46 02 21.81" 0.100 0.007 0.114977 0.003187 0.55050 -2.1396246 Simbad
"HIP 96163" "19 33 09.087" "+59 23 45.84" 0.071 0.005 0.089466 0.002512 0.56500 -3.6932647 Simbad
"HIP 96222" "19 34 01.738" "+65 31 51.45" 0.078 0.005 0.096536 0.002636 1.64049 -3.7072556 Simbad
"HIP 96242" "19 34 11.485" "+28 24 56.37" 0.066 0.005 0.076950 0.002177 0.26788 -2.1899970 Simbad
"HIP 96252" "19 34 18.191" "+41 55 37.99" 0.126 0.009 0.150508 0.004161 0.74001 -2.7231343 Simbad
"HIP 96256" "19 34 19.212" "+41 25 44.55" 0.080 0.006 0.108679 0.003114 1.71435 -4.7797730 Simbad
"HIP 96275" "19 34 34.896" "+19 46 24.24" 0.203 0.014 0.279271 0.007939 1.65223 -5.4479036 Simbad
"HIP 96292" "19 34 43.929" "+43 56 45.08" 0.112 0.008 0.145773 0.004030 1.49193 -4.2216050 Simbad
"HIP 96348" "19 35 21.844" "+34 41 16.81" 0.077 0.005 0.099110 0.002719 1.21199 -4.4219494 Simbad
"HIP 96363" "19 35 33.205" "+47 26 08.80" 0.088 0.006 0.104796 0.002980 0.90018 -2.7993295 Simbad
"HIP 96373" "19 35 37.788" "+22 30 06.83" 0.079 0.005 0.095239 0.002590 1.13960 -3.2478065 Simbad
"HIP 96387" "19 35 48.304" "+36 56 40.34" 0.153 0.011 0.175751 0.004901 0.87529 -2.0682921 Simbad
"HIP 96430" "19 36 16.905" "+33 27 41.05" 0.074 0.005 0.093268 0.002558 0.73499 -3.8535090 Simbad
"HIP 96442" "19 36 26.935" "+41 53 33.90" 0.083 0.006 0.103677 0.002948 0.65074 -3.4462090 Simbad
"HIP 96466" "19 36 42.559" "+13 21 44.90" 0.075 0.005 0.090322 0.002507 0.86183 -3.0643225 Simbad
"HIP 96480" "19 36 52.193" "+30 19 30.09" 0.062 0.004 0.082552 0.002290 1.73009 -5.1379090 Simbad
"HIP 96491" "19 36 56.649" "+38 23 01.78" 0.094 0.006 0.111193 0.003259 0.86695 -2.8655317 Simbad
"HIP 96548" "19 37 42.736" "+80 00 25.81" 0.057 0.004 0.065915 0.001808 0.46642 -2.2286240 Simbad
"HIP 96693" "19 39 26.485" "+42 49 05.81" 0.206 0.014 0.254010 0.007073 1.30283 -3.4293020 Simbad
"HIP 96744" "19 39 58.702" "+21 34 04.93" 0.064 0.004 0.076558 0.002100 0.75699 -3.1396205 Simbad
"HIP 96772" "19 40 13.488" "+26 59 43.17" 0.082 0.006 0.097729 0.002681 1.35894 -2.6215550 Simbad
"HIP 96797" "19 40 35.790" "+56 43 08.50" 0.066 0.005 0.080297 0.002818 0.11654 -2.8593050 Simbad
"HIP 96857" "19 41 14.989" "+42 08 29.95" 0.060 0.004 0.073225 0.002017 0.85600 -3.3062127 Simbad
"HIP 96882" "19 41 37.265" "-65 51 15.88" 2.039 0.141 2.731408 0.202920 0.00317 -4.9106920 Simbad
"HIP 96896" "19 41 49.409" "-36 53 15.27" 0.108 0.007 0.124114 0.003607 0.34190 -2.3019888 Simbad
"HIP 96931" "19 42 12.813" "+12 11 35.74" 0.122 0.008 0.157563 0.004252 1.43838 -4.4453263 Simbad
"HIP 96936" "19 42 19.321" "+18 27 56.31" 0.119 0.008 0.142674 0.003990 1.24257 -2.9592960 Simbad
"HIP 96958" "19 42 34.252" "+40 01 35.56" 0.070 0.005 0.082841 0.002275 0.70327 -2.5681660 Simbad
"HIP 97028" "19 43 09.597" "+30 40 40.41" 0.177 0.012 0.202895 0.005610 1.23715 -2.1579552 Simbad
"HIP 97049" "19 43 24.560" "+56 25 34.14" 0.048 0.003 0.058305 0.001682 0.93635 -3.4350789 Simbad
"HIP 97087" "19 43 51.452" "+34 09 45.81" 0.149 0.010 0.175645 0.004898 0.92536 -2.6644528 Simbad
"HIP 97357" "19 47 17.567" "+30 50 24.73" 0.060 0.004 0.081008 0.002210 1.63889 -5.2519355 Simbad
"HIP 97376" "19 47 27.779" "+38 24 27.41" 0.156 0.011 0.186991 0.005086 1.58782 -2.8173313 Simbad
"HIP 97426" "19 48 04.337" "+27 42 10.04" 0.077 0.005 0.096230 0.002609 1.22173 -3.8459451 Simbad
"HIP 97609" "19 50 19.801" "+36 05 53.53" 0.092 0.006 0.116035 0.003272 1.46868 -4.0058827 Simbad
"HIP 97611" "19 50 21.756" "-61 03 40.03" 0.102 0.007 0.123473 0.003785 0.37739 -3.0676274 Simbad
"HIP 97619" "19 50 26.652" "+30 45 58.18" 0.093 0.006 0.109959 0.003127 0.87591 -2.8265626 Simbad
"HIP 97663" "19 50 54.902" "+24 37 37.16" 0.079 0.005 0.099918 0.002734 1.37902 -4.1835920 Simbad
"HIP 97777" "19 52 08.080" "+52 16 52.75" 0.087 0.006 0.107389 0.002980 1.30261 -3.3981774 Simbad
"HIP 97782" "19 52 10.574" "+53 13 35.35" 0.060 0.004 0.070224 0.001899 1.01934 -2.5558927 Simbad
"HIP 97815" "19 52 36.750" "+48 06 22.20" 0.070 0.005 0.085360 0.002336 0.95031 -3.0719206 Simbad
"HIP 97838" "19 52 53.120" "-76 10 45.91" 0.074 0.005 0.086943 0.002453 0.56007 -2.5885165 Simbad
"HIP 97892" "19 53 35.428" "+59 42 31.18" 0.184 0.013 0.220432 0.006939 0.38200 -2.8024774 Simbad
"HIP 97966" "19 54 37.651" "-08 13 38.25" 0.157 0.011 0.187122 0.005646 0.27482 -2.7383459 Simbad
"HIP 97970" "19 54 40.201" "+07 08 25.28" 0.187 0.013 0.214140 0.006038 0.98861 -2.0876882 Simbad
"HIP 98093" "19 56 07.766" "+33 04 28.53" 0.083 0.006 0.106548 0.002888 1.33543 -3.9247026 Simbad
"HIP 98111" "19 56 19.052" "+56 41 13.26" 0.205 0.014 0.233397 0.006218 0.99525 -2.0283747 Simbad
"HIP 98126" "19 56 35.383" "+36 19 11.96" 0.058 0.004 0.074183 0.002116 0.90179 -4.0457690 Simbad
"HIP 98143" "19 56 44.143" "+36 15 02.15" 0.118 0.008 0.139107 0.004160 0.53743 -2.6383230 Simbad
"HIP 98146" "19 56 45.173" "+50 54 09.08" 0.134 0.009 0.168339 0.004589 2.04013 -3.8154674 Simbad
"HIP 98168" "19 56 59.693" "+27 48 58.89" 0.075 0.005 0.088060 0.002483 0.91119 -2.6119620 Simbad
"HIP 98182" "19 57 08.300" "+30 46 38.91" 0.110 0.008 0.130479 0.003527 1.17143 -2.5598183 Simbad
"HIP 98186" "19 57 10.654" "+30 51 22.75" 0.075 0.005 0.090143 0.002488 1.41201 -3.0286431 Simbad
"HIP 98213" "19 57 29.029" "+38 27 29.73" 0.152 0.010 0.174356 0.004795 1.17201 -2.2355988 Simbad
"HIP 98234" "19 57 45.446" "+16 47 20.98" 0.190 0.013 0.236285 0.006447 1.42580 -3.5603733 Simbad
"HIP 98285" "19 58 11.198" "+39 24 31.65" 0.044 0.003 0.057681 0.001526 0.61290 -4.5601800 Simbad
"HIP 98289" "19 58 13.669" "+34 25 21.92" 0.060 0.004 0.071092 0.002008 1.31673 -2.7730790 Simbad
"HIP 98308" "19 58 28.738" "+63 32 02.89" 0.179 0.012 0.215772 0.005806 0.94966 -3.0643382 Simbad
"HIP 98321" "19 58 34.978" "+36 56 44.44" 0.052 0.004 0.063274 0.001669 0.66974 -2.8184335 Simbad
"HIP 98439" "20 00 03.984" "+68 26 12.34" 0.070 0.005 0.080730 0.002334 0.59238 -2.1459177 Simbad
"HIP 98467" "20 00 19.239" "+29 49 17.46" 0.061 0.004 0.078295 0.002157 1.19621 -4.3238053 Simbad
"HIP 98473" "20 00 20.916" "+22 26 24.15" 0.069 0.005 0.079456 0.002174 1.07391 -2.0911486 Simbad
"HIP 98483" "20 00 25.869" "+61 04 33.54" 0.071 0.005 0.085546 0.002412 0.62558 -2.9091792 Simbad
"HIP 98541" "20 01 04.955" "+29 08 25.79" 0.052 0.004 0.060006 0.001716 0.35692 -2.0013776 Simbad
"HIP 98699" "20 02 47.308" "+28 30 53.38" 0.121 0.008 0.143550 0.003926 1.33662 -2.8188107 Simbad
"HIP 98712" "20 02 58.077" "+57 05 04.54" 0.077 0.005 0.091468 0.002613 0.47017 -2.8935194 Simbad
"HIP 98801" "20 03 59.390" "+17 07 22.76" 0.142 0.010 0.169893 0.004790 1.02432 -2.7892560 Simbad
"HIP 98802" "20 03 59.464" "+40 39 23.53" 0.070 0.005 0.081778 0.002253 1.46354 -2.3555562 Simbad
"HIP 98850" "20 04 25.794" "+42 11 54.26" 0.042 0.003 0.055453 0.001531 0.88363 -4.4843926 Simbad
"HIP 98861" "20 04 30.729" "+24 55 57.00" 0.057 0.004 0.070148 0.001940 0.79546 -3.2869716 Simbad
"HIP 98889" "20 04 53.236" "+72 46 57.06" 0.083 0.006 0.101778 0.002824 1.11292 -3.1295977 Simbad
"HIP 98912" "20 05 06.157" "+17 52 43.40" 0.081 0.006 0.105701 0.003180 0.82087 -4.1167784 Simbad
"HIP 99068" "20 06 46.031" "+33 28 35.86" 0.051 0.004 0.062347 0.001730 0.99471 -2.8368113 Simbad
"HIP 99069" "20 06 46.253" "+63 42 24.41" 0.083 0.006 0.099649 0.002709 0.49709 -2.7747614 Simbad
"HIP 99138" "20 07 35.460" "+44 00 26.87" 0.054 0.004 0.067601 0.001850 0.56645 -3.4002054 Simbad
"HIP 99152" "20 07 45.504" "+57 47 59.69" 0.097 0.007 0.120558 0.003299 1.18408 -3.3654847 Simbad
"HIP 99282" "20 09 13.669" "+07 15 27.56" 0.045 0.003 0.051503 0.001433 0.30281 -2.1675377 Simbad
"HIP 99302" "20 09 24.948" "-33 52 27.41" 0.092 0.006 0.104723 0.003189 0.26676 -2.1205409 Simbad
"HIP 99303" "20 09 25.619" "+36 50 22.64" 0.256 0.018 0.213964 0.007887 2.71471 2.3353126 Simbad
"HIP 99317" "20 09 34.387" "+18 46 57.05" 0.102 0.007 0.126521 0.003688 0.76800 -3.5030606 Simbad
"HIP 99370" "20 10 09.357" "+45 01 00.22" 0.056 0.004 0.072310 0.002016 0.27038 -4.0774884 Simbad
"HIP 99481" "20 11 23.289" "-68 37 33.47" 0.050 0.003 0.060356 0.001671 0.50092 -3.4519248 Simbad
"HIP 99506" "20 11 39.356" "+63 31 38.64" 0.077 0.005 0.092305 0.002561 0.96477 -3.0609057 Simbad
"HIP 99696" "20 13 51.111" "+48 55 26.38" 0.051 0.003 0.058104 0.002091 0.05385 -2.3679137 Simbad
"HIP 99775" "20 14 35.081" "+54 31 08.72" 0.080 0.006 0.093934 0.002532 0.51875 -2.3222528 Simbad
"HIP 99785" "20 14 45.572" "+47 26 26.18" 0.081 0.006 0.100882 0.002770 0.59782 -3.3136556 Simbad
"HIP 99796" "20 14 51.722" "+10 28 20.47" 0.109 0.008 0.127552 0.003887 0.17551 -2.3189652 Simbad
"HIP 99942" "20 16 39.453" "+28 31 22.45" 0.095 0.007 0.113735 0.003181 0.81649 -2.6763601 Simbad
"HIP 99967" "20 16 54.986" "+31 30 18.77" 0.110 0.008 0.131894 0.003660 1.54477 -2.7367377 Simbad
"HIP 99978" "20 16 57.770" "+18 21 13.67" 0.077 0.005 0.088842 0.002409 1.28929 -2.3684235 Simbad
"HIP 100090" "20 18 19.326" "-51 05 12.65" 0.075 0.005 0.090129 0.002754 0.34106 -3.0257628 Simbad
"HIP 100108" "20 18 28.655" "+36 59 59.29" 0.235 0.016 0.272404 0.007411 1.25241 -2.3377640 Simbad
"HIP 100147" "20 18 52.034" "+21 12 36.34" 0.096 0.007 0.117370 0.003484 0.81597 -3.0528445 Simbad
"HIP 100190" "20 19 19.864" "+61 17 18.48" 0.051 0.003 0.057885 0.001622 1.26056 -2.2950532 Simbad
"HIP 100191" "20 19 20.688" "+41 23 29.02" 0.077 0.005 0.089054 0.002430 1.16351 -2.4107470 Simbad
"HIP 100218" "20 19 34.378" "+56 40 38.66" 0.064 0.004 0.079667 0.002211 0.41509 -3.9166658 Simbad
"HIP 100250" "20 19 56.043" "+46 50 14.35" 0.117 0.008 0.148973 0.004053 2.02989 -3.9966680 Simbad
"HIP 100313" "20 20 42.110" "+22 16 36.38" 0.088 0.006 0.111249 0.003188 0.57241 -3.8749104 Simbad
"HIP 100328" "20 20 48.342" "+38 15 23.20" 0.067 0.005 0.081688 0.002278 1.10447 -2.9376805 Simbad
"HIP 100333" "20 20 53.498" "-59 02 08.64" 0.076 0.005 0.086213 0.002462 0.47452 -2.0425590 Simbad
"HIP 100360" "20 21 14.019" "+43 35 21.22" 0.071 0.005 0.085433 0.002338 1.18085 -2.8865159 Simbad
"HIP 100365" "20 21 15.483" "+15 06 15.44" 0.140 0.010 0.160067 0.004395 0.98685 -2.0066514 Simbad
"HIP 100416" "20 21 43.208" "-79 35 51.56" 0.087 0.006 0.099979 0.002740 0.43580 -2.1632066 Simbad
"HIP 100551" "20 23 19.335" "+15 21 43.41" 0.093 0.006 0.112571 0.003112 0.76276 -3.2617524 Simbad
"HIP 100598" "20 23 54.495" "+16 02 48.80" 0.107 0.007 0.134788 0.004119 0.60085 -3.9696915 Simbad
"HIP 100631" "20 24 18.065" "+37 34 31.56" 0.063 0.004 0.075228 0.002095 0.72791 -3.0568912 Simbad
"HIP 100654" "20 24 33.240" "+05 30 34.09" 0.082 0.006 0.105535 0.003051 0.70183 -3.9225008 Simbad
"HIP 100657" "20 24 35.327" "+48 41 34.09" 0.066 0.005 0.078746 0.002555 0.42859 -2.5491297 Simbad
"HIP 100664" "20 24 37.499" "+01 04 06.27" 0.161 0.011 0.186311 0.005248 0.29205 -2.3009968 Simbad
"HIP 100709" "20 25 02.824" "+13 23 10.30" 0.104 0.007 0.120649 0.003372 0.84976 -2.3784500 Simbad
"HIP 100731" "20 25 19.446" "+52 51 48.93" 0.058 0.004 0.073434 0.002484 0.54217 -3.8585532 Simbad
"HIP 100734" "20 25 25.428" "+06 38 30.51" 0.122 0.008 0.144963 0.004218 0.77126 -2.8703258 Simbad
"HIP 100741" "20 25 28.580" "+39 47 36.68" 0.070 0.005 0.085513 0.002360 0.85182 -3.1025426 Simbad
"HIP 100746" "20 25 33.542" "+80 13 12.58" 0.074 0.005 0.095486 0.002692 1.50923 -4.2971983 Simbad
"HIP 100765" "20 25 48.627" "-26 33 23.32" 0.070 0.005 0.083841 0.002436 0.44664 -2.7682767 Simbad
"HIP 100780" "20 26 01.225" "+20 34 55.91" 0.090 0.006 0.103155 0.002806 0.30907 -2.1925743 Simbad
"HIP 100784" "20 26 03.858" "+40 24 06.16" 0.100 0.007 0.126351 0.003563 1.31284 -3.7644580 Simbad
"HIP 100834" "20 26 43.768" "+39 29 45.32" 0.090 0.006 0.114355 0.003109 1.12644 -4.0591173 Simbad
"HIP 100849" "20 26 51.062" "+12 28 32.24" 0.065 0.005 0.079392 0.002147 1.04258 -2.8783994 Simbad
"HIP 100857" "20 26 58.116" "+30 22 10.74" 0.091 0.006 0.107527 0.002973 1.07951 -2.7544696 Simbad
"HIP 100863" "20 27 04.887" "+46 17 39.12" 0.045 0.003 0.053604 0.001634 0.39504 -2.8678465 Simbad
"HIP 100971" "20 28 20.854" "+20 06 46.34" 0.124 0.009 0.142804 0.003921 0.90832 -2.0893035 Simbad
"HIP 100977" "20 28 24.906" "-03 21 28.04" 0.151 0.010 0.179350 0.004924 0.77828 -2.8349996 Simbad
"HIP 101017" "20 28 46.738" "-35 35 45.12" 0.134 0.009 0.161855 0.004702 0.16824 -3.0950541 Simbad
"HIP 101020" "20 28 48.714" "+45 43 07.77" 0.089 0.006 0.102673 0.002828 0.87656 -2.2788880 Simbad
"HIP 101032" "20 28 55.025" "+29 57 45.54" 0.057 0.004 0.070224 0.002015 1.29133 -3.3061120 Simbad
"HIP 101065" "20 29 18.894" "+60 25 17.88" 0.078 0.005 0.096094 0.002598 0.84477 -3.6188126 Simbad
"HIP 101114" "20 29 44.859" "+02 59 46.42" 0.103 0.007 0.125258 0.003503 0.74836 -3.1797671 Simbad
"HIP 101140" "20 30 05.006" "+48 38 29.08" 0.087 0.006 0.099573 0.002763 1.19903 -2.0955577 Simbad
"HIP 101170" "20 30 23.261" "+40 39 53.08" 0.056 0.004 0.074642 0.002018 2.00954 -4.6604366 Simbad
"HIP 101260" "20 31 30.413" "+74 57 16.63" 0.294 0.020 0.357852 0.036130 0.02117 -3.1926140 Simbad
"HIP 101271" "20 31 39.387" "+45 10 16.66" 0.059 0.004 0.076565 0.002217 0.70463 -4.3913536 Simbad
"HIP 101290" "20 31 52.251" "+16 59 30.23" 0.085 0.006 0.106995 0.003123 0.68916 -3.6658160 Simbad
"HIP 101327" "20 32 14.730" "-71 51 51.26" 0.097 0.007 0.111438 0.003044 0.50529 -2.0625750 Simbad
"HIP 101332" "20 32 17.053" "+54 09 22.72" 0.074 0.005 0.092922 0.002551 0.88663 -3.7843258 Simbad
"HIP 101349" "20 32 25.167" "+70 31 55.54" 0.113 0.008 0.142285 0.003906 1.04640 -3.6606274 Simbad
"HIP 101367" "20 32 42.407" "-28 35 43.60" 0.106 0.007 0.121019 0.003429 0.68007 -2.1456022 Simbad
"HIP 101372" "20 32 43.931" "+53 01 30.41" 0.076 0.005 0.094700 0.002733 1.40427 -3.7400038 Simbad
"HIP 101384" "20 32 52.358" "-24 56 37.79" 0.151 0.010 0.171402 0.004940 0.31272 -2.0401611 Simbad
"HIP 101397" "20 32 57.331" "-68 22 19.37" 0.094 0.006 0.109473 0.003043 0.64505 -2.5788260 Simbad
"HIP 101462" "20 33 46.166" "+52 49 35.56" 0.092 0.006 0.107508 0.003550 0.76681 -2.5845902 Simbad
"HIP 101525" "20 34 27.582" "-19 23 52.88" 0.077 0.005 0.087870 0.002541 0.94809 -2.1739006 Simbad
"HIP 101552" "20 34 47.392" "-30 28 24.49" 0.122 0.008 0.145064 0.004177 0.53995 -2.8829415 Simbad
"HIP 101607" "20 35 29.643" "+06 56 49.48" 0.118 0.008 0.146304 0.004785 0.10168 -3.5379806 Simbad
"HIP 101643" "20 36 12.445" "-71 15 39.91" 0.082 0.006 0.095516 0.002728 0.57605 -2.2526445 Simbad
"HIP 101677" "20 36 35.665" "+40 28 45.10" 0.059 0.004 0.074828 0.002069 1.07414 -3.9570944 Simbad
"HIP 101676" "20 36 35.961" "-71 04 17.20" 0.111 0.008 0.132051 0.003842 0.26498 -2.6313941 Simbad
"HIP 101687" "20 36 40.744" "+16 42 48.91" 0.064 0.004 0.073807 0.002560 0.20849 -2.4518220 Simbad
"HIP 101715" "20 37 04.079" "+67 30 15.45" 0.060 0.004 0.081211 0.002468 0.60521 -5.3026460 Simbad
"HIP 101725" "20 37 11.048" "-65 01 59.80" 0.115 0.008 0.132339 0.003721 0.33171 -2.1673730 Simbad
"HIP 101727" "20 37 12.398" "+48 46 05.42" 0.063 0.004 0.073028 0.002077 1.48104 -2.5069265 Simbad
"HIP 101732" "20 37 14.251" "+79 17 18.32" 0.051 0.004 0.060150 0.001834 0.28921 -2.2875760 Simbad
"HIP 101746" "20 37 18.383" "+00 05 49.11" 0.128 0.009 0.156140 0.004476 0.49906 -3.1266313 Simbad
"HIP 101765" "20 37 31.778" "+31 34 21.14" 0.118 0.008 0.147527 0.004047 1.80150 -3.6909075 Simbad
"HIP 101796" "20 37 48.460" "+05 18 03.49" 0.047 0.003 0.058938 0.001690 1.04211 -3.9792830 Simbad
"HIP 101803" "20 37 50.184" "+29 43 17.88" 0.075 0.005 0.085608 0.002447 1.04516 -2.1216764 Simbad
"HIP 101825" "20 38 05.935" "+46 53 08.93" 0.059 0.004 0.074006 0.002039 0.98606 -3.7513764 Simbad
"HIP 101826" "20 38 08.290" "+30 34 38.99" 0.090 0.006 0.103176 0.003002 0.61872 -2.1959505 Simbad
"HIP 101838" "20 38 15.746" "+44 19 57.75" 0.091 0.006 0.119269 0.003272 1.09950 -4.7115397 Simbad
"HIP 101863" "20 38 29.202" "+75 15 44.89" 0.062 0.004 0.071916 0.002057 1.13404 -2.4790204 Simbad
"HIP 101868" "20 38 31.915" "+24 06 57.45" 0.180 0.012 0.214637 0.007247 0.08995 -2.8864355 Simbad
"HIP 102038" "20 40 42.479" "+14 31 36.86" 0.084 0.006 0.099387 0.002723 0.82888 -2.5645146 Simbad
"HIP 102051" "20 40 53.278" "+41 12 08.99" 0.098 0.007 0.118536 0.003255 1.79273 -2.9337149 Simbad
"HIP 102108" "20 41 33.352" "-27 59 41.62" 0.070 0.005 0.085319 0.002350 0.77111 -3.0637400 Simbad
"HIP 102122" "20 41 42.385" "+43 26 35.80" 0.077 0.005 0.087724 0.002529 0.31018 -2.1448345 Simbad
"HIP 102155" "20 41 56.501" "+41 43 00.75" 0.159 0.011 0.200151 0.005490 1.65869 -3.7410042 Simbad
"HIP 102174" "20 42 11.530" "+34 33 59.55" 0.078 0.005 0.089651 0.002439 1.24888 -2.3302794 Simbad
"HIP 102216" "20 42 39.684" "+60 36 04.74" 0.173 0.012 0.211314 0.006357 0.38241 -3.1927998 Simbad
"HIP 102224" "20 42 48.458" "+66 19 36.19" 0.114 0.008 0.132949 0.003662 2.03538 -2.3686857 Simbad
"HIP 102284" "20 43 29.387" "+55 17 30.48" 0.092 0.006 0.116760 0.003206 1.48658 -4.1266727 Simbad
"HIP 102319" "20 43 52.325" "+34 04 14.26" 0.083 0.006 0.096271 0.002618 0.88282 -2.2117856 Simbad
"HIP 102376" "20 44 36.366" "-71 14 01.88" 0.053 0.004 0.062169 0.001762 0.48963 -2.2921980 Simbad
"HIP 102380" "20 44 38.828" "+13 33 19.21" 0.093 0.006 0.105190 0.002888 0.98717 -2.0316503 Simbad
"HIP 102430" "20 45 20.987" "+46 21 17.26" 0.135 0.009 0.155487 0.004283 0.53248 -2.2763312 Simbad
"HIP 102460" "20 45 44.488" "+43 26 42.53" 0.048 0.003 0.057819 0.001583 0.62518 -3.2730014 Simbad
"HIP 102461" "20 45 45.175" "+22 55 15.38" 0.078 0.005 0.096331 0.002645 0.92462 -3.6662757 Simbad
"HIP 102483" "20 46 04.726" "+54 23 25.85" 0.061 0.004 0.073557 0.002206 1.12955 -3.1391912 Simbad
"HIP 102497" "20 46 20.069" "-39 11 57.35" 0.191 0.013 0.220501 0.006331 0.04651 -2.2692990 Simbad
"HIP 102526" "20 46 37.346" "+69 56 08.54" 0.076 0.005 0.088401 0.002472 0.71043 -2.4802759 Simbad
"HIP 102551" "20 46 53.060" "+47 06 41.50" 0.079 0.005 0.093135 0.002742 0.69193 -2.8269649 Simbad
"HIP 102598" "20 47 32.498" "+55 34 10.61" 0.061 0.004 0.073564 0.002108 2.00494 -3.1409178 Simbad
"HIP 102730" "20 49 00.848" "-72 31 57.83" 0.096 0.007 0.113569 0.003244 0.47613 -2.5098026 Simbad
"HIP 102740" "20 49 05.048" "+25 40 13.04" 0.067 0.005 0.087720 0.002666 1.06486 -4.1440277 Simbad
"HIP 102758" "20 49 14.660" "+14 36 20.82" 0.090 0.006 0.117078 0.003548 1.17442 -4.5130577 Simbad
"HIP 102775" "20 49 19.005" "+58 44 55.46" 0.111 0.008 0.128213 0.003597 0.67962 -2.1515787 Simbad
"HIP 102858" "20 50 18.251" "+56 47 54.39" 0.085 0.006 0.104123 0.003053 0.61532 -3.1871746 Simbad
"HIP 102878" "20 50 37.061" "+18 03 04.66" 0.142 0.010 0.163535 0.004416 0.74709 -2.1535144 Simbad
"HIP 102885" "20 50 39.649" "+42 22 55.17" 0.079 0.005 0.094550 0.002637 0.85981 -3.1100035 Simbad
"HIP 102987" "20 51 57.350" "+46 44 05.22" 0.068 0.005 0.079175 0.002432 1.03195 -2.2349090 Simbad
"HIP 103005" "20 52 08.695" "-05 30 25.41" 0.189 0.013 0.225904 0.006164 0.35556 -2.8387606 Simbad
"HIP 103018" "20 52 16.099" "-19 38 36.95" 0.083 0.006 0.101238 0.002808 0.79184 -3.0395947 Simbad
"HIP 103041" "20 52 34.222" "+41 58 46.59" 0.075 0.005 0.088663 0.002532 1.78914 -2.7325350 Simbad
"HIP 103108" "20 53 26.390" "+42 24 36.72" 0.124 0.009 0.151504 0.004173 1.51283 -3.0559947 Simbad
"HIP 103233" "20 54 50.591" "+34 21 22.42" 0.051 0.004 0.060839 0.001721 0.96961 -2.4597328 Simbad
"HIP 103341" "20 56 11.596" "+43 25 27.52" 0.086 0.006 0.110038 0.003128 0.95735 -4.0063980 Simbad
"HIP 103343" "20 56 12.790" "+51 04 30.07" 0.101 0.007 0.122670 0.003433 1.30535 -3.0956926 Simbad
"HIP 103347" "20 56 18.256" "-03 33 42.10" 0.112 0.008 0.134342 0.003868 0.35711 -2.7927850 Simbad
"HIP 103354" "20 56 23.771" "+36 22 38.50" 0.075 0.005 0.087825 0.002411 0.93963 -2.5649607 Simbad
"HIP 103403" "20 56 56.977" "+47 34 44.11" 0.088 0.006 0.101042 0.002959 0.55771 -2.1736722 Simbad
"HIP 103452" "20 57 35.584" "+39 39 45.69" 0.063 0.004 0.085733 0.002332 1.37245 -5.6832560 Simbad
"HIP 103503" "20 58 11.681" "-69 08 46.40" 0.108 0.007 0.127719 0.003640 0.58159 -2.8170590 Simbad
"HIP 103509" "20 58 15.305" "+47 37 03.66" 0.064 0.004 0.072762 0.002222 0.33295 -2.1905432 Simbad
